component,field,target_class,ngh_class,source_asset,source_path,target_path,source_sha256,target_sha256_before,status_before,status_after,target_sha256_after
HabboCatalogCom,layout_guild_forum,HabboCatalogCom_layout_guild_forum,class_344,856_class_344.bin,C:\habbo\client\habbo-client-ngh\binaryData\856_class_344.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_layout_guild_forum.bin,7cd2bdc1668b0bb2231bbbcd75cc1f0b1ce338c0e0ef64037c127699ae46a4f1,790651b877f9ae2480429647d00d537fb9ba44a2b1f9e874ecd0d033750197d3,different,copied,7cd2bdc1668b0bb2231bbbcd75cc1f0b1ce338c0e0ef64037c127699ae46a4f1
HabboCatalogCom,layout_badge_display,HabboCatalogCom_layout_badge_display,class_262,630_class_262.bin,C:\habbo\client\habbo-client-ngh\binaryData\630_class_262.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_layout_badge_display.bin,059b72b9e2fcdddb81e00c6965af455b5e1d15c021cdbc40f0650d1576ec195c,c5f0e514da78e8c17b228fac75d20fc056d2cb866ae049bb0a14f5b8901153c6,different,copied,059b72b9e2fcdddb81e00c6965af455b5e1d15c021cdbc40f0650d1576ec195c
HabboCatalogCom,layout_single_bundle,HabboCatalogCom_layout_single_bundle,class_394,1052_class_394.bin,C:\habbo\client\habbo-client-ngh\binaryData\1052_class_394.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_layout_single_bundle.bin,b41dfadc16a1d591e0c0ef5b2e10e3cf10bfc829cbdd93138d67e8a927df9950,d2d27e2a1704e1148a7dd1bcfb22cb2cffe6038d4f53f0cb309c68cc4cbe623b,different,copied,b41dfadc16a1d591e0c0ef5b2e10e3cf10bfc829cbdd93138d67e8a927df9950
HabboCatalogCom,layout_builders_club_addons,HabboCatalogCom_layout_builders_club_addons,class_247,441_class_247.bin,C:\habbo\client\habbo-client-ngh\binaryData\441_class_247.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_layout_builders_club_addons.bin,f6eb339d67c20008d625a869772bab721a978b9bfa2e7c87e850e910a10e57a1,ad1a42afeae5aaff4fff73f98c97e2df6d7e7d2991655bb1158cff276fec8663,different,copied,f6eb339d67c20008d625a869772bab721a978b9bfa2e7c87e850e910a10e57a1
HabboCatalogCom,layout_builders_club_loyalty,HabboCatalogCom_layout_builders_club_loyalty,class_354,1980_class_354.bin,C:\habbo\client\habbo-client-ngh\binaryData\1980_class_354.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_layout_builders_club_loyalty.bin,1131e87eef87a2805d56f930f489a1efe0ded0f13a15bbc1e4f3972222496050,93051ded0f1e0811f5fe5ed41fbb012eb72d834861225b1b0967b6f835e6ad9a,different,copied,1131e87eef87a2805d56f930f489a1efe0ded0f13a15bbc1e4f3972222496050
HabboCatalogCom,layout_builders_club_frontpage,HabboCatalogCom_layout_builders_club_frontpage,class_328,994_class_328.bin,C:\habbo\client\habbo-client-ngh\binaryData\994_class_328.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_layout_builders_club_frontpage.bin,65ca16d7f7d5b3c71e6ef6f879f303d554446cc291336a5bfd4b40d794e7222c,65ca16d7f7d5b3c71e6ef6f879f303d554446cc291336a5bfd4b40d794e7222c,identical,identical,65ca16d7f7d5b3c71e6ef6f879f303d554446cc291336a5bfd4b40d794e7222c
HabboCatalogCom,old_layout_club_buy,HabboCatalogCom_old_layout_club_buy,class_304,1702_class_304.bin,C:\habbo\client\habbo-client-ngh\binaryData\1702_class_304.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_old_layout_club_buy.bin,637d103b72cc7c2f4231fecc8db10832d5601893d3d8a37c5bf61180de86c107,4bb1d061ff5725b18ea30e64dd56f7b8d68251e589cc2f10e43eb0ab5807e7a2,different,copied,637d103b72cc7c2f4231fecc8db10832d5601893d3d8a37c5bf61180de86c107
HabboCatalogCom,old_layout_club_gifts,HabboCatalogCom_old_layout_club_gifts,class_239,1370_class_239.bin,C:\habbo\client\habbo-client-ngh\binaryData\1370_class_239.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_old_layout_club_gifts.bin,c410159552c0f8309b0fb84922f6ec67c617087a1a8da812a77ed757f6898296,c410159552c0f8309b0fb84922f6ec67c617087a1a8da812a77ed757f6898296,identical,identical,c410159552c0f8309b0fb84922f6ec67c617087a1a8da812a77ed757f6898296
HabboCatalogCom,old_layout_default_3x3,HabboCatalogCom_old_layout_default_3x3,class_376,583_class_376.bin,C:\habbo\client\habbo-client-ngh\binaryData\583_class_376.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_old_layout_default_3x3.bin,805930038c58c7fde4fd239e4bc634de78bd705841ecf5114358be6e18235bd9,4713c3f823edc5c7e213ab7e9a227bb45ae64e4be75df4ad0f11ac97cb3b0cb6,different,copied,805930038c58c7fde4fd239e4bc634de78bd705841ecf5114358be6e18235bd9
HabboCatalogCom,old_layout_frontpage4,HabboCatalogCom_old_layout_frontpage4,class_359,572_class_359.bin,C:\habbo\client\habbo-client-ngh\binaryData\572_class_359.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_old_layout_frontpage4.bin,a2e7a7ff4267995404d112079554af87b4c011ff78790e4f5591d1501f9831b8,a2e7a7ff4267995404d112079554af87b4c011ff78790e4f5591d1501f9831b8,identical,identical,a2e7a7ff4267995404d112079554af87b4c011ff78790e4f5591d1501f9831b8
